NOME;NOME FANTASIA;CNPJ;ESTADO;ANO;Relatório;ESCOPO;Categoria;Emissões (tCO2e);Emissões de CO2 biogênico (t);Remoções de CO2 biogênico (t);Gás
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2022;Participação Societária;Escopo 1;Mudanças no uso do solo;0,00;477,38;0,00;
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;SP;2022;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;2,10;0,00;0,00;
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;SP;2022;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;2,10;0,00;0,00;
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;SP;2022;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;2,10;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Controle Operacional;Escopo 1;Combustão móvel;2545,53;230,83;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Controle Operacional;Escopo 1;Combustão estacionária;72658,79;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;249,26;27,92;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Controle Operacional;Escopo 1;Fugitivas;278,67;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Controle Operacional;Escopo 1;Mudanças no uso do solo;112,19;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;8121,58;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;301,89;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Participação Societária;Escopo 1;Combustão móvel;2545,53;230,83;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Participação Societária;Escopo 1;Combustão estacionária;72658,79;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;249,26;27,92;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Participação Societária;Escopo 1;Fugitivas;278,67;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Participação Societária;Escopo 1;Mudanças no uso do solo;112,19;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;8121,58;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2022;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;301,89;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Controle Operacional;Escopo 1;Combustão móvel;61066,40;7005,41;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Controle Operacional;Escopo 1;Combustão estacionária;2182628,77;4517,13;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;297,57;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Controle Operacional;Escopo 1;Fugitivas;1489,02;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Controle Operacional;Escopo 1;Mudanças no uso do solo;147331,44;0,00;93111,30;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;62533,03;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Participação Societária;Escopo 1;Combustão móvel;37715,86;4311,01;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Participação Societária;Escopo 1;Combustão estacionária;1283452,89;2763,36;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;285,20;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Participação Societária;Escopo 1;Fugitivas;1076,06;0,00;0,00;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Participação Societária;Escopo 1;Mudanças no uso do solo;88160,16;0,00;56708,27;
Alcoa Alumínio S.A.;Alcoa;23.637.697/0135-13;SP;2021;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;42329,75;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2021;Controle Operacional;Escopo 1;Combustão móvel;53939,07;6192,78;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2021;Controle Operacional;Escopo 1;Combustão estacionária;37348,77;4366,79;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2021;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;31,86;0,00;0,00;
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;PA;2021;Controle Operacional;Escopo 1;Fugitivas;487,29;0,00;0,00;
